Rank,Company,Fit Score,Category Label,Country,Region,Remote,Funding Stage (approx),Company Size (approx),Website
345,Atlassian,71,SaaS / Product,Australia,Australia,Remote-first,Public,5000+,https://atlassian.com
346,Webflow,71,SaaS / Product,USA,USA,Remote-first,Series C,1001-5000,https://webflow.com
347,Close,71,SaaS / Product,USA,Global-Remote,Remote-first,Profitable,51-200,https://close.com
348,Storyblok,71,SaaS / Product,Austria,Europe,Remote-first,Series C,201-500,https://storyblok.com
349,Sanity,71,SaaS / Product,Norway,Norway,Remote-first,Series C,201-500,https://sanity.io
350,Twilio,71,SaaS / Product,USA,USA,Remote-first,Public,5000+,https://twilio.com
351,Deel,71,Fintech,USA,Global-Remote,Remote-first,Late-stage,5000+,https://deel.com
352,Automattic,71,SaaS / Product,USA,Global-Remote,Remote-first,Private,1001-5000,https://automattic.com
353,Remote.com,71,SaaS / Product,USA,Global-Remote,Remote-first,Series C,1001-5000,https://remote.com
354,Brilliant,68,Edtech,USA,Global-Remote,Remote-first,Series B,51-200,https://brilliant.org
368,Turing,67,IT Services,USA,India,Remote-first,Series D,1001-5000,https://turing.com
380,Andela,67,IT Services,USA,Global-Remote,Remote-first,Series E+,1001-5000,https://andela.com
383,Toptal,67,IT Services,USA,Global-Remote,Remote-first,Profitable,501-1000,https://toptal.com
